id;created;modified;nome_azione;descrizione
1;2020-05-27;2020-05-27;Cliff Computers;magenta deposit
2;2020-05-27;2020-05-28;Usability parsing;Mauritius Fresh
3;2020-05-27;2020-05-27;portal Planner violet;internet solution Rustic Frozen Pizza copying
4;2020-05-27;2020-05-27;seamless;New York
5;2020-05-27;2020-05-27;digital Personal Loan Account;Engineer open-source
6;2020-05-27;2020-05-27;Money Market Account;Generic Borders Movies
7;2020-05-28;2020-05-27;quantifying;Cotton Avon Intelligent Fresh Chips
8;2020-05-27;2020-05-27;interfaces Union;Bedfordshire JBOD lavender
9;2020-05-28;2020-05-27;Wooden;Buckinghamshire Marketing Home
10;2020-05-27;2020-05-28;matrix Facilitator Sleek Wooden Salad;Tasty Soft Mouse
